code,name,address,latitude,longitude,summary,description,휴무일,운영시간,imageUrl,category
P0001,숭례문,서울특별시 중구 세종대로 40,37.55992779,126.9753598,서울 대표 국보 1호 성문,"숭례문은 조선 태조 때 건립된 한양도성의 남쪽 정문으로, 대한민국 국보 제1호입니다. 서울 도심 한가운데 위치하며, 전통 목조 건축의 아름다움과 역사적 의미를 동시에 느낄 수 있는 상징적인 문화유산입니다.",월요일,화~일 09:00-18:00,https://picsum.photos/600/400,문화재
P0002,서울광장,서울특별시 중구 세종대로 110,37.565567,126.978014,도심 속 대표 시민 광장,"서울광장은 서울시청 앞에 위치한 열린 공간으로, 넓은 잔디밭과 함께 다양한 행사와 축제가 열리는 시민 중심의 광장입니다. 겨울철 스케이트장 등 계절별 프로그램으로 많은 시민과 관광객이 찾는 명소입니다.",월요일(잔디 휴식일),상시개방,https://picsum.photos/600/401,광장
P0003,광화문광장,서울특별시 종로구 세종대로 172,37.572389,126.976911,서울 중심 역사 문화 광장,"광화문광장은 세종대왕과 이순신 장군 동상이 위치한 대한민국 대표 역사 광장입니다. 주변에는 경복궁과 정부청사가 있어 전통과 현대가 공존하는 상징적인 공간입니다.",연중무휴,24시간,https://picsum.photos/600/402,광장
P0004,광화문,서울특별시 종로구 세종대로 일대,37.571665,126.976502,경복궁의 상징 정문,"광화문은 조선 왕조의 법궁인 경복궁의 정문으로, 웅장한 규모와 전통 건축 양식을 보여주는 대표적인 문화재입니다. 서울의 역사와 권위를 상징하는 랜드마크로 많은 관광객이 방문합니다.",연중무휴,상시관람(외부),https://picsum.photos/600/403,문화재
P0005,서촌한옥마을,서울특별시 종로구 통의동 28-1,37.578668,126.973107,전통과 감성이 공존하는 골목,"서촌한옥마을은 경복궁 서쪽에 위치한 전통 주거 지역으로, 고즈넉한 한옥과 감각적인 카페, 공방이 어우러진 공간입니다. 골목을 따라 산책하며 서울의 옛 정취와 현대적 감성을 동시에 느낄 수 있습니다.",연중무휴,상시방문 가능,https://picsum.photos/600/404,한옥마을
P0006,청계천,서울특별시 종로구 무교동 일대(청계광장 기준),37.569101,126.978669,도심 속 힐링 수변 산책로,"청계천은 서울 도심을 가로지르는 대표적인 하천으로, 복원 사업 이후 시민들의 휴식 공간으로 자리 잡았습니다. 산책로와 조명이 잘 조성되어 낮과 밤 모두 매력적인 장소입니다.",연중무휴,24시간,https://picsum.photos/600/405,하천
P0007,광장시장,서울특별시 종로구 창경궁로 88,37.570039,126.999603,서울 대표 전통 먹거리 시장,"광장시장은 100년 이상의 역사를 가진 전통시장으로, 빈대떡, 육회, 마약김밥 등 다양한 길거리 음식으로 유명합니다. 활기찬 분위기 속에서 서울의 먹거리 문화를 체험할 수 있습니다.",일요일(먹자골목은 연중무휴),09:00-18:00 / 먹자골목 09:00-23:00,https://picsum.photos/600/406,전통시장
P0008,동대문디자인플라자,서울특별시 중구 을지로 281,37.566525,127.009223,디자인과 문화가 만나는 공간,"동대문디자인플라자는 세계적인 건축가 자하 하디드가 설계한 복합문화공간입니다. 전시, 패션, 디자인 행사와 함께 야경이 아름다운 명소로 많은 사람들이 찾습니다.",프로그램별 상이,공간/전시별 상이,https://picsum.photos/600/407,복합문화공간
P0009,마포대교,서울특별시 마포구 마포동 ~ 영등포구 여의도동,37.533797,126.937113,한강을 가로지르는 전망 명소,"마포대교는 마포와 여의도를 연결하는 다리로, 한강의 넓은 풍경과 도시 스카이라인을 감상할 수 있습니다. 라이딩과 산책 코스로 많은 사람들이 이용합니다.",연중무휴,24시간,https://picsum.photos/600/408,다리
P0010,여의도한강공원,서울특별시 영등포구 여의동로 330,37.52671,126.934711,한강 대표 피크닉 명소,"여의도한강공원은 서울에서 가장 인기 있는 한강공원 중 하나로, 자전거, 피크닉, 벚꽃길 등 다양한 여가 활동을 즐길 수 있습니다. 특히 봄철 벚꽃 시즌에 많은 방문객이 찾습니다.",연중무휴,24시간,https://picsum.photos/600/409,공원
P0011,홍제천,서울특별시 서대문구 홍은동 일대,37.579655,126.93486,조용한 도심 속 생태 하천,"홍제천은 북한산에서 시작되어 한강으로 이어지는 생태 하천으로, 비교적 한적하고 조용한 분위기에서 산책과 라이딩을 즐길 수 있는 공간입니다.",연중무휴,산책로 상시개방,https://picsum.photos/600/410,하천
P0012,홍제천인공폭포,서울특별시 서대문구 연희동 170-181,37.581348,126.937819,도심 속 시원한 폭포 명소,"홍제천 인공폭포는 도심에서 보기 드문 대형 인공폭포로, 시원한 물소리와 함께 휴식을 취할 수 있는 장소입니다. 주변 카페와 산책로가 잘 조성되어 있습니다.",연중무휴,폭포 가동 08:00-21:00,https://picsum.photos/600/411,폭포
P0013,경의선숲길,서울특별시 마포구 연남동 375 일대,37.561952,126.922831,감성적인 도심 산책로,"경의선숲길은 폐철길을 활용해 만든 공원으로, 연남동과 홍대 지역을 잇는 산책로입니다. 감성적인 분위기로 ‘연트럴파크’라고 불리며 많은 사람들이 찾는 핫플레이스입니다.",연중무휴,상시개방,https://picsum.photos/600/412,공원
P0014,잠실한강공원,서울특별시 송파구 한가람로 65,37.517589,127.086723,동남권 대표 한강공원,"잠실한강공원은 수상 레저와 넓은 자전거 도로가 잘 갖춰진 한강공원으로, 운동과 휴식을 동시에 즐길 수 있는 공간입니다.",연중무휴,24시간,https://picsum.photos/600/413,공원
P0015,롯데월드타워,서울특별시 송파구 올림픽로 300,37.512464,127.102543,서울 최고 높이 랜드마크,"롯데월드타워는 123층 규모의 대한민국 최고층 빌딩으로, 전망대 ‘서울스카이’에서 서울 전경을 한눈에 볼 수 있습니다. 쇼핑과 문화시설도 함께 즐길 수 있습니다.",연중무휴,서울스카이 일~목 10:30-22:00 / 금~토 10:30-23:00,https://picsum.photos/600/414,랜드마크
P0016,올림픽공원,서울특별시 송파구 올림픽로 424,37.520686,127.121494,넓고 쾌적한 대형 공원,"올림픽공원은 1988년 서울올림픽을 기념해 조성된 공원으로, 넓은 잔디밭과 조각공원, 산책로가 조성되어 있어 여유로운 라이딩과 휴식을 즐기기 좋은 공간입니다.",연중무휴,05:00-22:00,https://picsum.photos/600/415,공원
P0017,길상사,서울 성북구 선잠로5길 68,37.59910942,	126.9946522,도심 속에 숨은 고요한 사찰,"이곳 길상사는 과거 화려한 요정이었던 공간이 사찰로 다시 태어난 특별한 장소입니다. 도심 한가운데 있지만, 나무와 고요한 분위기가 마음을 차분하게 만들어줍니다. 잠시 걸음을 멈추고, 조용한 시간을 가져보세요.",없음,상시개방,https://picsum.photos/600/416,문화재
P0018,심우장,서울 성북구 성북로29길 24,337.59362698,	126.9916647,독립운동가 만해의 숨결이 남은 공간,"심우장은 독립운동가 만해 한용운 선생이 머물며 삶을 이어갔던 집입니다. 이곳은 일부러 북쪽을 향하지 않도록 지어진 독특한 구조를 가지고 있습니다. 그의 삶과 신념을 떠올리며 천천히 공간을 둘러보세요.",월요일,09:00~18:00,https://picusm.phtos/600/417,문화재
P0019,성락원,서울 성북구 성북로31길 96,37.5965266644028,126.999214711486,자연과 전통이 어우러진 비밀 정원,"성락원은 조선시대 별서 정원으로, 자연 지형을 그대로 살려 조성된 아름다운 공간입니다. 물소리와 나무, 그리고 전통 건축이 조화를 이루며 고요한 풍경을 만들어냅니다. 마치 시간 속을 거니는 듯한 경험을 느껴보세요.",월요일,10:00~17:00,https://example.com/seongrakwon.jpg,문화재
P0020,한국가구박물관,서울 성북구 대사관로13길 66,37.60089696,	126.9901339,전통 생활을 담은 아름다운 가구 이야기,"이곳에서는 조선시대부터 이어져 온 한국 전통 가구와 생활 문화를 만날 수 있습니다. 나무의 결을 살린 가구 하나하나에는 옛사람들의 삶과 지혜가 담겨 있습니다. 천천히 둘러보며 전통의 아름다움을 느껴보세요.",월요일,10:00~18:00,https://example.com/furniture.jpg,문화재
